Course ID,Discipline,Course Name,SME Name,Institute,Co-ordinating Institute,Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to join the course,Old course URL,NPTEL URL,information,TRAIN,cluster
noc23-ae08,Aerospace / Mechanical Engineering,elements of mechanical vibration,Prof. Ashish K Darpe,IITD,IITD,12 Weeks,New,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae08/preview,,https://nptel.ac.in/courses/101102090,"ABOUT THE COURSE:     It is hard to imagine any mechanical/aerospace system that is not subjected to dynamic excitation force. The time-varying forces excite these machines/structures and manifests in their vibratory motion. The vibratory motion greatly influences the stresses and hence the durability and residual life of these complex systems, apart from generating undesired noise. The task for an engineer in designing these systems is ensuring a desired life. It is therefore necessary to develop insights into the vibration phenomenon, so that the issue of undesired vibration levels is addressed at the design stage itself. This course addresses the fundamentals of vibration theory with simple but practical examples with an emphasis on seeing the larger picture and interpreting the outcome of vibration analysis from the context of machinery or structural design. At the end of the course the student will be able to understand the process of modelling any practical vibratory system, its analysis and interpreting the results.      INTENDED AUDIENCE:   Senior Undergraduate / Post-graduate, doctoral students in aerospace or mechanical engineering, practicing engineers from industry willing to get a sound foundation in vibration engineering      PREREQUISITES:   Basic exposure to Engineering Mechanics and Engineering Mathematics would be useful      INDUSTRY SUPPORT:   All the industrial rotating machinery have vibration and noise issues, and there are many critical vibration problems in most aerospace systems including engines and transmissions. Strong foundation and understanding of variety of aspects of the vibration phenomenon is very crucial to analysis and interpretation of issues observed in practical machinery and structures. The course is intended to address fundamental understanding of the vibration theory with emphasis on solution of many practical problems, analysis and interpretation.","Aerospace / Mechanical Engineeringelements of mechanical vibrationABOUT THE COURSE:     It is hard to imagine any mechanical/aerospace system that is not subjected to dynamic excitation force. The time-varying forces excite these machines/structures and manifests in their vibratory motion. The vibratory motion greatly influences the stresses and hence the durability and residual life of these complex systems, apart from generating undesired noise. The task for an engineer in designing these systems is ensuring a desired life. It is therefore necessary to develop insights into the vibration phenomenon, so that the issue of undesired vibration levels is addressed at the design stage itself. This course addresses the fundamentals of vibration theory with simple but practical examples with an emphasis on seeing the larger picture and interpreting the outcome of vibration analysis from the context of machinery or structural design. At the end of the course the student will be able to understand the process of modelling any practical vibratory system, its analysis and interpreting the results.      INTENDED AUDIENCE:   Senior Undergraduate / Post-graduate, doctoral students in aerospace or mechanical engineering, practicing engineers from industry willing to get a sound foundation in vibration engineering      PREREQUISITES:   Basic exposure to Engineering Mechanics and Engineering Mathematics would be useful      INDUSTRY SUPPORT:   All the industrial rotating machinery have vibration and noise issues, and there are many critical vibration problems in most aerospace systems including engines and transmissions. Strong foundation and understanding of variety of aspects of the vibration phenomenon is very crucial to analysis and interpretation of issues observed in practical machinery and structures. The course is intended to address fundamental understanding of the vibration theory with emphasis on solution of many practical problems, analysis and interpretation.",159
noc23-ae09,Aerospace Engineering,aircraft stability and control,Prof. A.K.Ghosh,IITK,IITK,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae09/preview,https://onlinecourses.nptel.ac.in/noc22_ae10/preview,https://nptel.ac.in/courses/101104062,"ABOUT THE COURSE:    This course is designed to understand stability and control aspects of an airplane. This course will also help in creating a background to design an airplane from stability and control aspects.          INTENDED AUDIENCE     :   Core course for UG students            INDUSTRY SUPPORT     :   NAL Bangalore, ARDE Pune, ADE Bangalore, ADA Bangalore","Aerospace Engineeringaircraft stability and controlABOUT THE COURSE:    This course is designed to understand stability and control aspects of an airplane. This course will also help in creating a background to design an airplane from stability and control aspects.          INTENDED AUDIENCE     :   Core course for UG students            INDUSTRY SUPPORT     :   NAL Bangalore, ARDE Pune, ADE Bangalore, ADA Bangalore",403
noc23-ae10,Aerospace Engineering,introduction to airplane performance,"Prof. A K Ghosh
Prof Deepu Philip",IITK,IITK,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae10/preview,https://onlinecourses.nptel.ac.in/noc22_ae11/preview,https://nptel.ac.in/courses/101104061,"ABOUT THE COURSE:    This course is designed to provide an integrated introductory treatment of airplane performance with flavor of aircraft design and flight testing.      
    INTENDED AUDIENCE  :     UG/PG of B.Tech/BE in any discipline of engineering
            INDUSTRY SUPPORT   :     DRDO, HAL, Boeing, Airbus, Bell, McDonnell Douglas, UAV Factory, Lockheed Martin","Aerospace Engineeringintroduction to airplane performanceABOUT THE COURSE:    This course is designed to provide an integrated introductory treatment of airplane performance with flavor of aircraft design and flight testing.      
    INTENDED AUDIENCE  :     UG/PG of B.Tech/BE in any discipline of engineering
            INDUSTRY SUPPORT   :     DRDO, HAL, Boeing, Airbus, Bell, McDonnell Douglas, UAV Factory, Lockheed Martin",103
noc23-ae11,Aerospace engineering,introduction to airbreathing propulsion,Prof. Ashoke De,IITK,IITK,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Core/Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae11/preview,https://onlinecourses.nptel.ac.in/noc22_ae12/preview,https://nptel.ac.in/courses/101104084,"ABOUT THE COURSE:      Due to the rapid advance in air transportation as well as military and intelligence missions, aircraft and rocket propulsion has become an essential part of engineering education. Propulsion is the combined aero-thermal science for aircrafts and rockets. Propulsion has both macro and microscales. Macroscale handles the performance and operation of aircrafts and rockets during different missions, while microscale is concerned with component design including both rotary modules (i.e., compressor, fan, pump, and turbine) and stationary modules (i.e., intake, combustor, afterburner, and nozzle). The fundamental knowledge of propulsion is expected to improve the design of the industrial propulsive systems by enhancing the stability, improving the efficiency, and reduction in pollutant formation. In this course, an integrated understanding of theory and practice of propulsion would be covered. The discussion would continue on the design, operation, installation and several inspections, repair, and maintenance aspects of aircraft and rocket engines.        INTENDED AUDIENCE :     Junior/Senior undergraduate students and postgraduate students of Aerospace, and Mechanical Engineering          PREREQUISITES     :     Fluid Mechanics, Thermodynamics, Basic Compressible flows            INDUSTRIES  SUPPORT :     Aerospace, Mechanical, Power Generation and Defense Industries","Aerospace engineeringintroduction to airbreathing propulsionABOUT THE COURSE:      Due to the rapid advance in air transportation as well as military and intelligence missions, aircraft and rocket propulsion has become an essential part of engineering education. Propulsion is the combined aero-thermal science for aircrafts and rockets. Propulsion has both macro and microscales. Macroscale handles the performance and operation of aircrafts and rockets during different missions, while microscale is concerned with component design including both rotary modules (i.e., compressor, fan, pump, and turbine) and stationary modules (i.e., intake, combustor, afterburner, and nozzle). The fundamental knowledge of propulsion is expected to improve the design of the industrial propulsive systems by enhancing the stability, improving the efficiency, and reduction in pollutant formation. In this course, an integrated understanding of theory and practice of propulsion would be covered. The discussion would continue on the design, operation, installation and several inspections, repair, and maintenance aspects of aircraft and rocket engines.        INTENDED AUDIENCE :     Junior/Senior undergraduate students and postgraduate students of Aerospace, and Mechanical Engineering          PREREQUISITES     :     Fluid Mechanics, Thermodynamics, Basic Compressible flows            INDUSTRIES  SUPPORT :     Aerospace, Mechanical, Power Generation and Defense Industries",414
noc23-ae12,Aerospace Engineering,design of fixed wing unmanned aerial vehicles,Prof. Subrahmanyam Saderla,IITK,IITK,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae12/preview,https://onlinecourses.nptel.ac.in/noc22_ae15/preview,https://nptel.ac.in/courses/101104073,"ABOUT THE COURSE:    This course introduces the initial designing and sizing process for rapidly growing fixed – wing UAV technology, integrated with its performance and stability analysis and prototype testing          INTENDED AUDIENCE:     Undergraduate and postgraduate students        PREREQUISITES:     Introduction to Aerodynamics        INDUSTRY SUPPORT:     DRDO, HAL, Boeing, Airbus, Bell, McDonnell Douglas, UAV Factory, Lockheed Martin","Aerospace Engineeringdesign of fixed wing unmanned aerial vehiclesABOUT THE COURSE:    This course introduces the initial designing and sizing process for rapidly growing fixed – wing UAV technology, integrated with its performance and stability analysis and prototype testing          INTENDED AUDIENCE:     Undergraduate and postgraduate students        PREREQUISITES:     Introduction to Aerodynamics        INDUSTRY SUPPORT:     DRDO, HAL, Boeing, Airbus, Bell, McDonnell Douglas, UAV Factory, Lockheed Martin",103
noc23-ae13,Aerospace Engineering,uav design - part ii,Prof. Saderla Subrahmanyam,IITK,IITK,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae13/preview,https://onlinecourses.nptel.ac.in/noc22_ae16/preview,https://nptel.ac.in/courses/101104083,"ABOUT THE COURSE:      This course introduces the designing and sizing process (Simulation/Experimental) for fixed – wing UAV technology, integrated with its performance and stability analysis (Static &amp; Dynamic) and prototype testing        INTENDED AUDIENCE         :     Undergraduate and postgraduate students          PREREQUISITES         :     Introduction to Aerodynamics/Flight Mechanics and     Design of fixed wing Unmanned Aerial Vehicles                  INDUSTRIES  SUPPORT :     DRDO, HAL, Boeing, Airbus, Bell, McDonnell Douglas, UAV Factory, Lockheed Martin","Aerospace Engineeringuav design - part iiABOUT THE COURSE:      This course introduces the designing and sizing process (Simulation/Experimental) for fixed – wing UAV technology, integrated with its performance and stability analysis (Static &amp; Dynamic) and prototype testing        INTENDED AUDIENCE         :     Undergraduate and postgraduate students          PREREQUISITES         :     Introduction to Aerodynamics/Flight Mechanics and     Design of fixed wing Unmanned Aerial Vehicles                  INDUSTRIES  SUPPORT :     DRDO, HAL, Boeing, Airbus, Bell, McDonnell Douglas, UAV Factory, Lockheed Martin",103
noc23-ae14,Aerospace Engineering,introduction to aerospace engineering-flight,Prof. Rajkumar Pant,IITB,IITB,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae14/preview,https://onlinecourses.nptel.ac.in/noc22_ae13/preview,https://nptel.ac.in/courses/101101079,"ABOUT THE COURSE:    The aim of this course is to provide a general overview of the field of Aeronautical Engineering to interested students. The course will consist of ten Capsules, each consisting of two Lectures. Each Lecture will cover a specific concept or area relevant to the subject. An attempt will be made to cover the contents in an interesting manner, by a judicious use of a mix of powerpoint presentations, in-class activities, quizzes, innovative and hands on assignments that will not only increase the awareness of the students, but also satiate their curiosity and desire to know more about the various concepts related to the subject.                 INTENDED AUDIENCE     :   Any discipline of Engineering, who are interested in the subject            INDUSTRY SUPPORT     :   DRDO, HAL, NAL, IAF","Aerospace Engineeringintroduction to aerospace engineering-flightABOUT THE COURSE:    The aim of this course is to provide a general overview of the field of Aeronautical Engineering to interested students. The course will consist of ten Capsules, each consisting of two Lectures. Each Lecture will cover a specific concept or area relevant to the subject. An attempt will be made to cover the contents in an interesting manner, by a judicious use of a mix of powerpoint presentations, in-class activities, quizzes, innovative and hands on assignments that will not only increase the awareness of the students, but also satiate their curiosity and desire to know more about the various concepts related to the subject.                 INTENDED AUDIENCE     :   Any discipline of Engineering, who are interested in the subject            INDUSTRY SUPPORT     :   DRDO, HAL, NAL, IAF",552
noc23-ae15,Aerospace engineering,introduction to aircraft design,Prof. Rajkumar Pant,IITB,IITB,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae15/preview,https://onlinecourses.nptel.ac.in/noc22_ae14/preview,https://nptel.ac.in/courses/101101083,"ABOUT THE COURSE:    This course is designed to provide students an understanding of procedure followed in conceptual design of an aircraft, meeting the user-specified design requirements and safety considerations specified by the aircraft certification agencies.
    
The students will be exposed to types of aircraft and their features, requirements capture, configuration selection, initial sizing, determination of aerodynamic coefficients, constraint analysis, types of loads, V-n diagram, Range-Payload diagram, and Life Cycle Cost analysis.
    
A special feature of this course will be  a series of tutorials which will run all along the course to give the participants a practical feel of conceptual sizing and of an existing civil transport aircraft.                INTENDED AUDIENCE         :     Aeronautical Engineering, Aerospace Engineering, Mechanical Engineering and Automobile Engineering          PREREQUISITES         :     Introduction to Aerospace Engineering, Flight Mechanics              INDUSTRIES  SUPPORT :     HAL, NAL, Mahindra Aerospace, ADE, ADA, Airbus, Boeing","Aerospace engineeringintroduction to aircraft designABOUT THE COURSE:    This course is designed to provide students an understanding of procedure followed in conceptual design of an aircraft, meeting the user-specified design requirements and safety considerations specified by the aircraft certification agencies.
    
The students will be exposed to types of aircraft and their features, requirements capture, configuration selection, initial sizing, determination of aerodynamic coefficients, constraint analysis, types of loads, V-n diagram, Range-Payload diagram, and Life Cycle Cost analysis.
    
A special feature of this course will be  a series of tutorials which will run all along the course to give the participants a practical feel of conceptual sizing and of an existing civil transport aircraft.                INTENDED AUDIENCE         :     Aeronautical Engineering, Aerospace Engineering, Mechanical Engineering and Automobile Engineering          PREREQUISITES         :     Introduction to Aerospace Engineering, Flight Mechanics              INDUSTRIES  SUPPORT :     HAL, NAL, Mahindra Aerospace, ADE, ADA, Airbus, Boeing",20
noc23-ae16,Aerospace Engineering,space flight mechanics,Prof. Manoranjan Sinha,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae16/preview,https://onlinecourses.nptel.ac.in/noc22_ae21/preview,https://nptel.ac.in/courses/101105083,"ABOUT THE COURSE:      This course is designed to introduce orbital mechanics of satellite. The       course will begin with central force motion and then proceed to the two-       body and three-body dynamics under mutual gravitational acceleration. It       will also introduce the concept of Lagrange Points and their stability.       Moreover, the concept of general orbit perturbation will also be       discussed. Earth as a non-spherical body and its effect on gravity will be     elaborated. Preliminary orbit determination of the satellite will be     discussed. Finally, orbit transfer will be elaborated.          INTENDED AUDIENCE      :     Aerospace, Mechanical, Physics, Mathematics        PREREQUISITES      :     Calculus of Multi-variables, Physics, Applied Mechanics            INDUSTRIES  SUPPORT     :     ISRO, DRDO, BOEING, and various private industries working on satellite","Aerospace Engineeringspace flight mechanicsABOUT THE COURSE:      This course is designed to introduce orbital mechanics of satellite. The       course will begin with central force motion and then proceed to the two-       body and three-body dynamics under mutual gravitational acceleration. It       will also introduce the concept of Lagrange Points and their stability.       Moreover, the concept of general orbit perturbation will also be       discussed. Earth as a non-spherical body and its effect on gravity will be     elaborated. Preliminary orbit determination of the satellite will be     discussed. Finally, orbit transfer will be elaborated.          INTENDED AUDIENCE      :     Aerospace, Mechanical, Physics, Mathematics        PREREQUISITES      :     Calculus of Multi-variables, Physics, Applied Mechanics            INDUSTRIES  SUPPORT     :     ISRO, DRDO, BOEING, and various private industries working on satellite",415
noc23-ae17,Aerospace Engineering,vibration and structural dynamics,Prof. Mira Mitra,IITKGP,IITKGP,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG,Core,No,Advanced Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae17/preview,https://onlinecourses.nptel.ac.in/noc21_ae15/preview,https://nptel.ac.in/courses/101105081,"ABOUT THE COURSE :      The course aims at imparting fundamentals of vibration and structural dynamics to senior undergraduate and graduate students. The course primarily consists of four modules, namely, single degree of freedom, multi-degree of freedom, continuous system, and analytical methods. The objective of the course is deliver problem solving capabilities both for industrial problems and academic research. The course will start from basic of vibrations and gradually deal with more complex problems.               INTENDED AUDIENCE    : Aerospace  Engineerings students      PREREQUISITES  :           Engineering Mechanics        INDUSTRY SUPPORT    : Automobile, Aerospace, Infrastructure, Wind Turbine Industries","Aerospace Engineeringvibration and structural dynamicsABOUT THE COURSE :      The course aims at imparting fundamentals of vibration and structural dynamics to senior undergraduate and graduate students. The course primarily consists of four modules, namely, single degree of freedom, multi-degree of freedom, continuous system, and analytical methods. The objective of the course is deliver problem solving capabilities both for industrial problems and academic research. The course will start from basic of vibrations and gradually deal with more complex problems.               INTENDED AUDIENCE    : Aerospace  Engineerings students      PREREQUISITES  :           Engineering Mechanics        INDUSTRY SUPPORT    : Automobile, Aerospace, Infrastructure, Wind Turbine Industries",225
